organization,package,month,commits
swift-standards,swift-json-feed-standard,2026-04,2
swift-standards,swift-locale-standard,2025-12,4
swift-standards,swift-locale-standard,2026-01,6
swift-standards,swift-locale-standard,2026-02,3
swift-standards,swift-locale-standard,2026-03,4
swift-standards,swift-locale-standard,2026-04,2
swift-standards,swift-pdf-standard,2025-12,16
swift-standards,swift-pdf-standard,2026-01,5
swift-standards,swift-pdf-standard,2026-02,3
swift-standards,swift-pdf-standard,2026-03,7
swift-standards,swift-pdf-standard,2026-04,2
swift-standards,swift-rfc-template,2026-01,1
swift-standards,swift-rfc-template,2026-03,1
swift-standards,swift-rss-standard,2025-11,13
swift-standards,swift-rss-standard,2025-12,5
swift-standards,swift-rss-standard,2026-01,6
swift-standards,swift-rss-standard,2026-02,3
swift-standards,swift-rss-standard,2026-03,7
swift-standards,swift-rss-standard,2026-04,2
swift-standards,swift-sockets-standard,2026-01,5
